CLIENTNUM,idstatus,Customer_Age,Gender,Dependent_count,Educationid,Maritalid,Income_Category,card_categoryid,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
768805383,1,45,M,3,1,1,$60K - $80K,1,39,5,1,3,12691,777,11914,1144,42,0.061
818770008,1,49,F,5,2,2,Less than $40K,1,44,6,1,2,8256,864,7392,1291,33,0.105
713982108,1,51,M,3,2,1,$80K - $120K,1,36,4,1,0,3418,0,3418,1887,20,0
769911858,1,40,F,4,1,3,Less than $40K,1,34,3,4,1,3313,2517,796,1171,20,0.76
709106358,1,40,M,3,3,1,$60K - $80K,1,21,5,1,0,4716,0,4716,816,28,0
713061558,1,44,M,2,2,1,$40K - $60K,1,36,3,1,2,4010,1247,2763,1088,24,0.311
810347208,1,51,M,4,4,1,$120K +,2,46,6,1,3,34516,2264,32252,1330,31,0.066
818906208,1,32,M,0,1,3,$60K - $80K,3,27,2,2,2,29081,1396,27685,1538,36,0.048
710930508,1,37,M,3,3,2,$60K - $80K,1,36,5,2,0,22352,2517,19835,1350,24,0.113
719661558,1,48,M,2,2,2,$80K - $120K,1,36,6,3,3,11656,1677,9979,1441,32,0.144
708790833,1,42,M,5,3,3,$120K +,1,31,5,3,2,6748,1467,5281,1201,42,0.217
710821833,1,65,M,1,4,1,$40K - $60K,1,54,6,2,3,9095,1587,7508,1314,26,0.174
710599683,1,56,M,1,5,2,$80K - $120K,1,36,3,6,0,11751,0,11751,1539,17,0
816082233,1,35,M,3,2,3,$60K - $80K,1,30,5,1,3,8547,1666,6881,1311,33,0.195
712396908,1,57,F,2,2,1,Less than $40K,1,48,5,2,2,2436,680,1756,1570,29,0.279
714885258,1,44,M,4,4,3,$80K - $120K,1,37,5,1,2,4234,972,3262,1348,27,0.23
709967358,1,48,M,4,6,2,$80K - $120K,1,36,6,2,3,30367,2362,28005,1671,27,0.078
753327333,1,41,M,3,4,1,$80K - $120K,1,34,4,4,1,13535,1291,12244,1028,21,0.095
806160108,1,61,M,1,1,1,$40K - $60K,1,56,2,2,3,3193,2517,676,1336,30,0.788
709327383,1,45,F,2,2,1,Unknown,1,37,6,1,2,14470,1157,13313,1207,21,0.08
806165208,1,47,M,1,7,0,$60K - $80K,1,42,5,2,0,20979,1800,19179,1178,27,0.086
708508758,2,62,F,0,2,1,Less than $40K,1,49,2,3,3,1438.3,0,1438.3,692,16,0
784725333,1,41,M,3,1,1,$40K - $60K,1,33,4,2,1,4470,680,3790,931,18,0.152
811604133,1,47,F,4,4,2,Less than $40K,1,36,3,3,2,2492,1560,932,1126,23,0.626
789124683,1,54,M,2,4,1,$80K - $120K,1,42,4,2,3,12217,0,12217,1110,21,0
771071958,1,41,F,3,2,2,Less than $40K,1,28,6,1,2,7768,1669,6099,1051,22,0.215
720466383,1,59,M,1,1,3,$40K - $60K,1,46,4,1,2,14784,1374,13410,1197,23,0.093
804424383,1,63,M,1,4,1,$60K - $80K,1,56,3,3,2,10215,1010,9205,1904,40,0.099
718813833,1,44,F,3,3,2,Unknown,1,34,5,2,2,10100,0,10100,1052,18,0
806624208,1,47,M,4,1,1,$40K - $60K,1,42,6,0,0,4785,1362,3423,1045,38,0.285
778348233,1,53,M,3,4,1,$80K - $120K,1,33,3,2,3,2753,1811,942,1038,25,0.658
712991808,1,53,M,2,3,1,$60K - $80K,1,48,2,5,1,2451,1690,761,1596,26,0.69
709029408,1,41,M,4,2,1,$60K - $80K,1,36,4,1,2,8923,2517,6406,1589,24,0.282
788658483,1,53,F,2,5,1,Less than $40K,1,38,5,2,3,2650,1490,1160,1411,28,0.562
787937058,1,58,M,0,2,1,$80K - $120K,1,49,6,2,2,12555,1696,10859,1291,24,0.135
715318008,1,55,F,1,5,2,Less than $40K,1,36,4,2,1,3520,1914,1606,1407,43,0.544
713962233,1,55,F,3,2,1,Less than $40K,1,36,6,2,3,3035,2298,737,1877,37,0.757
785432733,1,42,F,4,1,1,Less than $40K,2,36,2,3,3,15433,0,15433,966,22,0
715190283,1,57,F,1,2,3,$40K - $60K,1,49,3,3,2,3672,886,2786,1464,28,0.241
708300483,2,66,F,0,7,1,Unknown,1,56,5,4,3,7882,605,7277,704,16,0.077
827111283,1,45,M,3,2,2,$80K - $120K,1,41,2,2,2,32426,578,31848,1109,28,0.018
758551608,1,51,M,2,4,1,$40K - $60K,1,44,4,1,0,6205,2204,4001,1347,28,0.355
773146383,1,50,F,1,5,2,$40K - $60K,3,43,3,2,3,17304,2517,14787,1756,33,0.145
778493808,1,49,M,3,1,1,$60K - $80K,1,37,5,2,1,3906,0,3906,1756,32,0
720572508,1,38,F,4,2,2,Unknown,1,28,2,3,3,9830,2055,7775,1042,23,0.209
712661433,1,49,M,4,3,2,$80K - $120K,1,30,3,2,3,34516,0,34516,1444,28,0
789172683,1,56,M,2,7,1,$60K - $80K,1,45,6,2,0,2283,1430,853,1741,27,0.626
738406533,1,59,M,1,7,1,$40K - $60K,1,52,3,2,2,2548,2020,528,1719,27,0.793
799723908,1,46,M,3,1,1,$80K - $120K,1,40,4,3,3,19458,1435,18023,1217,27,0.074
771490833,1,52,M,1,5,2,$80K - $120K,1,40,5,1,1,4745,1227,3518,1140,40,0.259
720756708,1,52,F,3,4,1,Less than $40K,1,41,6,3,2,2622,1549,1073,1878,30,0.591
779471883,2,54,F,1,2,1,Less than $40K,1,40,2,3,1,1438.3,808,630.3,705,19,0.562
711525033,1,66,F,0,1,1,Less than $40K,1,54,3,4,2,3171,2179,992,1946,38,0.687
712813458,1,49,M,2,4,1,$120K +,1,36,4,2,0,19763,2517,17246,1414,35,0.127
714374133,2,56,M,2,2,1,$120K +,1,36,1,3,3,15769,0,15769,602,15,0
717891558,1,49,F,4,2,3,Less than $40K,1,36,6,4,2,3298,2200,1098,1052,32,0.667
716632758,1,49,F,3,2,2,Less than $40K,1,36,2,2,0,2802,2363,439,1295,40,0.843
768563658,1,56,M,2,3,1,$40K - $60K,1,50,4,2,3,4458,1880,2578,1424,29,0.422
